isoCode,date
arg,2020-01-01
arg,2020-01-02
arg,2020-01-03
arg,2020-01-04
arg,2020-01-05
arg,2020-01-06
arg,2020-01-07
arg,2020-01-08
arg,2020-01-09
arg,2020-01-10
arg,2020-01-11
arg,2020-01-12
arg,2020-01-13
arg,2020-01-14
arg,2020-01-15
arg,2020-01-16
arg,2020-01-17
arg,2020-01-18
arg,2020-01-19
arg,2020-01-20
arg,2020-01-21
arg,2020-01-22
arg,2020-01-23
arg,2020-01-24
arg,2020-01-25
arg,2020-01-26
arg,2020-01-27
arg,2020-01-28
arg,2020-01-29
arg,2020-01-30
arg,2020-01-31
arg,2020-02-01
arg,2020-02-02
arg,2020-02-03
arg,2020-02-04
arg,2020-02-05
arg,2020-02-06
arg,2020-02-07
arg,2020-02-08
arg,2020-02-09
arg,2020-02-10
arg,2020-02-11
arg,2020-02-12
arg,2020-02-13
arg,2020-02-14
arg,2020-02-15
arg,2020-02-16
arg,2020-02-17
arg,2020-02-18
arg,2020-02-19
arg,2020-02-20
arg,2020-02-21
arg,2020-02-22
arg,2020-02-23
arg,2020-02-24
arg,2020-02-25
arg,2020-02-26
arg,2020-02-27
arg,2020-02-28
arg,2020-02-29
arg,2020-03-01
arg,2020-03-02
arg,2020-03-03
arg,2020-03-04
arg,2020-03-05
arg,2020-03-06
arg,2020-03-07
arg,2020-03-08
arg,2020-03-09
arg,2020-03-10
arg,2020-03-11
arg,2020-03-12
arg,2020-03-13
arg,2020-03-14
arg,2020-03-15
arg,2020-03-16
arg,2020-03-17
arg,2020-03-18
arg,2020-03-19
arg,2020-03-20
arg,2020-03-21
arg,2020-03-22
arg,2020-03-23
arg,2020-03-24
arg,2020-03-25
arg,2020-03-26
arg,2020-03-27
arg,2020-03-28
arg,2020-03-29
arg,2020-03-30
arg,2020-03-31
arg,2020-04-01
arg,2020-04-02
arg,2020-04-03
arg,2020-04-04
arg,2020-04-05
arg,2020-04-06
arg,2020-04-07
arg,2020-04-08
arg,2020-04-09
arg,2020-04-10
arg,2020-04-11
arg,2020-04-12
arg,2020-04-13
arg,2020-04-14
arg,2020-04-15
arg,2020-04-16
arg,2020-04-17
arg,2020-04-18
arg,2020-04-19
arg,2020-04-20
arg,2020-04-21
arg,2020-04-22
arg,2020-04-23
arg,2020-04-24
arg,2020-04-25
arg,2020-04-26
arg,2020-04-27
arg,2020-04-28
arg,2020-04-29
arg,2020-04-30
arg,2020-05-01
arg,2020-05-02
arg,2020-05-03
arg,2020-05-04
arg,2020-05-05
arg,2020-05-06
arg,2020-05-07
arg,2020-05-08
arg,2020-05-09
arg,2020-05-10
arg,2020-05-11
arg,2020-05-12
arg,2020-05-13
arg,2020-05-14
arg,2020-05-15
arg,2020-05-16
arg,2020-05-17
arg,2020-05-18
arg,2020-05-19
arg,2020-05-20
arg,2020-05-21
arg,2020-05-22
arg,2020-05-23
arg,2020-05-24
arg,2020-05-25
arg,2020-05-26
arg,2020-05-27
arg,2020-05-28
arg,2020-05-29
arg,2020-05-30
arg,2020-05-31
arg,2020-06-01
arg,2020-06-02
arg,2020-06-03
arg,2020-06-04
arg,2020-06-05
arg,2020-06-06
arg,2020-06-07
arg,2020-06-08
arg,2020-06-09
arg,2020-06-10
arg,2020-06-11
arg,2020-06-12
arg,2020-06-13
arg,2020-06-14
arg,2020-06-15
arg,2020-06-16
arg,2020-06-17
arg,2020-06-18
arg,2020-06-19
arg,2020-06-20
arg,2020-06-21
arg,2020-06-22
arg,2020-06-23
arg,2020-06-24
arg,2020-06-25
arg,2020-06-26
arg,2020-06-27
arg,2020-06-28
arg,2020-06-29
arg,2020-06-30
arg,2020-07-01
arg,2020-07-02
arg,2020-07-03
arg,2020-07-04
arg,2020-07-05
arg,2020-07-06
arg,2020-07-07
arg,2020-07-08
arg,2020-07-09
arg,2020-07-10
arg,2020-07-11
arg,2020-07-12
arg,2020-07-13
arg,2020-07-14
arg,2020-07-15
arg,2020-07-16
arg,2020-07-17
arg,2020-07-18
arg,2020-07-19
arg,2020-07-20
arg,2020-07-21
arg,2020-07-22
arg,2020-07-23
arg,2020-07-24
arg,2020-07-25
arg,2020-07-26
arg,2020-07-27
arg,2020-07-28
arg,2020-07-29
arg,2020-07-30
arg,2020-07-31
arg,2020-08-01
arg,2020-08-02
arg,2020-08-03
arg,2020-08-04
arg,2020-08-05
arg,2020-08-06
arg,2020-08-07
arg,2020-08-08
arg,2020-08-09
arg,2020-08-10
arg,2020-08-11
arg,2020-08-12
arg,2020-08-13
arg,2020-08-14
arg,2020-08-15
arg,2020-08-16
arg,2020-08-17
arg,2020-08-18
arg,2020-08-19
arg,2020-08-20
arg,2020-08-21
arg,2020-08-22
arg,2020-08-23
arg,2020-08-24
arg,2020-08-25
arg,2020-08-26
arg,2020-08-27
arg,2020-08-28
arg,2020-08-29
arg,2020-08-30
arg,2020-08-31
arg,2020-09-01
arg,2020-09-02
arg,2020-09-03
arg,2020-09-04
arg,2020-09-05
arg,2020-09-06
arg,2020-09-07
arg,2020-09-08
arg,2020-09-09
arg,2020-09-10
arg,2020-09-11
arg,2020-09-12
arg,2020-09-13
arg,2020-09-14
arg,2020-09-15
arg,2020-09-16
arg,2020-09-17
arg,2020-09-18
arg,2020-09-19
arg,2020-09-20
arg,2020-09-21
arg,2020-09-22
arg,2020-09-23
arg,2020-09-24
arg,2020-09-25
arg,2020-09-26
arg,2020-09-27
arg,2020-09-28
arg,2020-09-29
arg,2020-09-30
arg,2020-10-01
arg,2020-10-02
arg,2020-10-03
arg,2020-10-04
arg,2020-10-05
arg,2020-10-06
arg,2020-10-07
arg,2020-10-08
arg,2020-10-09
arg,2020-10-10
arg,2020-10-11
arg,2020-10-12
arg,2020-10-13
arg,2020-10-14
arg,2020-10-15
arg,2020-10-16
arg,2020-10-17
arg,2020-10-18
arg,2020-10-19
arg,2020-10-20
arg,2020-10-21
arg,2020-10-22
arg,2020-10-23
arg,2020-10-24
arg,2020-10-25
arg,2020-10-26
arg,2020-10-27
arg,2020-10-28
arg,2020-10-29
arg,2020-10-30
arg,2020-10-31
arg,2020-11-01
arg,2020-11-02
arg,2020-11-03
arg,2020-11-04
arg,2020-11-05
arg,2020-11-06
arg,2020-11-07
arg,2020-11-08
arg,2020-11-09
arg,2020-11-10
arg,2020-11-11
arg,2020-11-12
arg,2020-11-13
arg,2020-11-14
arg,2020-11-15
arg,2020-11-16
arg,2020-11-17
arg,2020-11-18
arg,2020-11-19
arg,2020-11-20
arg,2020-11-21
arg,2020-11-22
arg,2020-11-23
arg,2020-11-24
arg,2020-11-25
arg,2020-11-26
arg,2020-11-27
arg,2020-11-28
arg,2020-11-29
arg,2020-11-30
arg,2020-12-01
arg,2020-12-02
arg,2020-12-03
arg,2020-12-04
arg,2020-12-05
arg,2020-12-06
arg,2020-12-07
arg,2020-12-08
arg,2020-12-09
arg,2020-12-10
arg,2020-12-11
arg,2020-12-12
arg,2020-12-13
arg,2020-12-14
arg,2020-12-15
arg,2020-12-16
arg,2020-12-17
arg,2020-12-18
arg,2020-12-19
arg,2020-12-20
arg,2020-12-21
arg,2020-12-22
arg,2020-12-23
arg,2020-12-24
arg,2020-12-25
arg,2020-12-26
arg,2020-12-27
arg,2020-12-28
arg,2024-01-28
che,2023-07-09
cyp,2023-04-28
cyp,2023-05-05
cyp,2023-05-12
cyp,2023-05-19
cyp,2023-05-26
cyp,2023-06-02
cyp,2023-06-30
cyp,2023-07-14
cyp,2023-07-21
cyp,2023-07-28
cyp,2023-08-04
cyp,2023-08-11
cyp,2023-08-18
cyp,2023-08-25
cyp,2023-09-01
cyp,2023-09-08
cyp,2023-09-15
isl,2022-04-01
isl,2022-04-08
isl,2022-04-15
isl,2022-04-22
isl,2022-04-29
isl,2022-05-06
isl,2022-05-13
isl,2022-05-20
isl,2022-05-27
isl,2022-06-03
isl,2022-06-10
isl,2022-06-17
isl,2022-06-24
isl,2022-07-01
isl,2022-07-08
isl,2022-07-15
isl,2022-07-22
isl,2022-07-29
isl,2022-08-05
isl,2022-08-12
isl,2022-08-19
isl,2022-08-26
isl,2022-09-02
isl,2022-09-09
isl,2022-09-16
isl,2022-09-23
isl,2022-09-30
isl,2022-10-07
isl,2022-10-14
isl,2022-10-21
isl,2022-10-28
isl,2022-11-04
isl,2022-11-11
isl,2022-11-18
isl,2022-11-25
isl,2022-12-02
isl,2022-12-09
isl,2022-12-16
isl,2022-12-23
isl,2022-12-30
isl,2023-01-06
isl,2023-01-13
isl,2023-01-20
isl,2023-01-27
isl,2023-02-03
isl,2023-02-10
isl,2023-02-17
isl,2023-02-24
isl,2023-03-03
isl,2023-03-10
isl,2023-03-17
isl,2023-03-24
isl,2023-03-31
isl,2023-04-07
isl,2023-04-14
isl,2023-04-21
isl,2023-04-28
isl,2023-05-05
isl,2023-05-12
isl,2023-05-19
isl,2023-05-26
lie,2023-06-16
lie,2023-06-23
lie,2023-06-30
lie,2023-07-07
lie,2023-07-14
lie,2023-07-21
lie,2023-07-28
lie,2023-08-04
lie,2023-08-11
lie,2023-08-18
lie,2023-08-25
lie,2023-09-01
lie,2023-09-15
lie,2023-09-22
lie,2023-09-29
lva,2022-07-15
lva,2022-07-22
lva,2022-07-29
lva,2022-08-05
lva,2022-08-12
lva,2022-08-19
lva,2022-08-26
lva,2022-09-02
lva,2022-09-09
lva,2022-09-16
lva,2022-09-23
lva,2022-09-30
lva,2022-10-07
lva,2022-10-14
lva,2022-10-21
lva,2022-10-28
lva,2022-11-04
lva,2022-11-11
lva,2022-11-18
lva,2022-11-25
lva,2022-12-02
lva,2022-12-09
lva,2022-12-16
lva,2022-12-23
lva,2022-12-30
lva,2023-01-06
lva,2023-01-13
lva,2023-01-20
lva,2023-01-27
lva,2023-02-03
lva,2023-02-10
lva,2023-02-17
lva,2023-02-24
lva,2023-03-03
lva,2023-03-10
lva,2023-03-17
lva,2023-03-24
lva,2023-03-31
lva,2023-04-07
lva,2023-04-14
lva,2023-04-21
lva,2023-04-28
lva,2023-05-12
lva,2023-05-19
lva,2023-05-26
lva,2023-06-02
lva,2023-06-09
lva,2023-07-21
nor,2023-06-30
nor,2023-07-07
nor,2023-07-14
nor,2023-07-21
nor,2023-07-28
nor,2023-08-04
nor,2023-08-11
nor,2023-08-18
nor,2023-08-25
per,2024-08-14
svk,2023-09-29
